股票代码_StkCd,证监会行业门类代码_CsrcICCd1
600809,C
600810,C
600811,S
600812,C
600815,C
600821,F
600823,K
600824,F
600825,F
600826,F
600828,F
600829,C
600830,F
600831,R
600832,S
600833,F
600834,N
600836,C
600838,F
600839,C
600846,S
600847,C
600850,C
600854,C
600855,C
600856,F
600857,F
600858,F
600859,F
600861,F
600862,C
600863,D
600864,D
600865,F
600866,C
600867,C
600868,S
600869,C
600870,C
600872,S
600873,C
600877,C
600879,C
600881,S
600882,C
600883,C
600884,C
600885,C
600886,D
600887,C
600888,C
600889,C
600890,K
600891,F
600892,F
600893,C
600894,C
600895,S
600896,G
600897,G
600898,F
600900,D
600960,C
600961,C
600962,A
600963,C
600965,A
600966,C
600967,C
600969,D
600971,B
600973,C
600975,A
600976,C
600978,C
600979,D
600980,C
600981,F
600982,D
600983,C
600984,C
600985,C
600987,C
600988,C
600990,C
600992,C
600993,C
600995,D
600997,B
600998,F
601000,G
601001,B
601002,C
601003,C
601006,G
601007,H
601008,G
601010,F
601011,C
601018,G
601058,C
601098,R
601101,B
601106,C
601113,C
601116,F
601117,M
601118,A
601126,C
601137,C
601139,D
601158,D
601168,B
601177,C
601179,D
601199,D
601208,C
601216,C
601218,C
601222,C
601233,C
601258,F
601311,C
601369,C
601518,G
601519,I
601558,C
601566,C
601567,C
601599,C
601616,C
601636,C
601666,B
601677,C
601678,S
601699,B
601700,C
601718,S
601777,C
601798,C
601799,C
601801,R
601872,G
601877,C
601888,L
601890,C
601908,C
601918,B
601933,F
601958,B
601989,C
601996,C
601999,R
